experiment,model,soc_bin,mean_signed_error,mean_abs_error
cross_A_train_PAN_test_LG,linear,0.275,0.1237325754377755,0.12604573950565418
cross_A_train_PAN_test_LG,linear,0.325,0.12313759833475937,0.1255901682593248
cross_A_train_PAN_test_LG,linear,0.375,0.10830549949159818,0.11203831051219552
cross_A_train_PAN_test_LG,linear,0.425,0.09283862385197734,0.0969952667297718
cross_A_train_PAN_test_LG,linear,0.475,0.0746685348583314,0.08740326712111465
cross_A_train_PAN_test_LG,linear,0.525,0.04904840298934946,0.07562151976203978
cross_A_train_PAN_test_LG,linear,0.575,0.049597849778910394,0.07415813561751453
cross_A_train_PAN_test_LG,linear,0.625,0.05536422895519352,0.07967870086375714
cross_A_train_PAN_test_LG,linear,0.675,0.05740619097366806,0.0811094458191848
cross_A_train_PAN_test_LG,linear,0.725,0.057539625795075086,0.07619859840711077
cross_A_train_PAN_test_LG,linear,0.775,0.052585312103464725,0.07291652232576266
cross_A_train_PAN_test_LG,linear,0.825,0.05644762785267741,0.07225517926747702
cross_A_train_PAN_test_LG,linear,0.875,0.034349232941975595,0.06227288345063797
cross_A_train_PAN_test_LG,linear,0.925,-0.0014902997246892505,0.05508952073206228
cross_A_train_PAN_test_LG,linear,0.975,-0.02104218915808729,0.04908014762449596
cross_A_train_PAN_test_LG,lstm,0.025,,
cross_A_train_PAN_test_LG,lstm,0.075,,
cross_A_train_PAN_test_LG,lstm,0.125,-0.06701398640871048,0.06864389777183533
cross_A_train_PAN_test_LG,lstm,0.175,-0.07116366177797318,0.08280392736196518
cross_A_train_PAN_test_LG,lstm,0.225,-0.0035287304781377316,0.04713798686861992
cross_A_train_PAN_test_LG,lstm,0.275,0.041735365986824036,0.06147835776209831
cross_A_train_PAN_test_LG,lstm,0.325,0.06100884824991226,0.08093124628067017
cross_A_train_PAN_test_LG,lstm,0.375,0.06516071408987045,0.07912535220384598
cross_A_train_PAN_test_LG,lstm,0.425,0.06557038426399231,0.07452622801065445
cross_A_train_PAN_test_LG,lstm,0.475,0.06287123262882233,0.07168372720479965
cross_A_train_PAN_test_LG,lstm,0.525,0.07049160450696945,0.07754285633563995
cross_A_train_PAN_test_LG,lstm,0.575,0.08347739279270172,0.08857650309801102
cross_A_train_PAN_test_LG,lstm,0.625,0.10166299343109131,0.1041596308350563
cross_A_train_PAN_test_LG,lstm,0.675,0.11508768796920776,0.11721903830766678
cross_A_train_PAN_test_LG,lstm,0.725,0.11997807025909424,0.12159810960292816
cross_A_train_PAN_test_LG,lstm,0.775,0.1172083243727684,0.11831210553646088
cross_A_train_PAN_test_LG,lstm,0.825,0.12287411838769913,0.12336291372776031
cross_A_train_PAN_test_LG,lstm,0.875,0.09354253113269806,0.09482921659946442
cross_A_train_PAN_test_LG,lstm,0.925,0.05499466136097908,0.05937761813402176
cross_A_train_PAN_test_LG,lstm,0.975,0.028087791055440903,0.03835330903530121
cross_A_train_PAN_test_LG,mlp,0.025,,
cross_A_train_PAN_test_LG,mlp,0.075,,
cross_A_train_PAN_test_LG,mlp,0.125,-0.0515781007707119,0.05469201132655144
cross_A_train_PAN_test_LG,mlp,0.175,-0.0530148483812809,0.0697031319141388
cross_A_train_PAN_test_LG,mlp,0.225,0.014111142605543137,0.04244610294699669
cross_A_train_PAN_test_LG,mlp,0.275,0.05379529669880867,0.06213576719164848
cross_A_train_PAN_test_LG,mlp,0.325,0.07763129472732544,0.08272871375083923
cross_A_train_PAN_test_LG,mlp,0.375,0.0737672969698906,0.07787834852933884
cross_A_train_PAN_test_LG,mlp,0.425,0.07090437412261963,0.0733867958188057
cross_A_train_PAN_test_LG,mlp,0.475,0.07380184531211853,0.0765034630894661
cross_A_train_PAN_test_LG,mlp,0.525,0.0739438608288765,0.07707873731851578
cross_A_train_PAN_test_LG,mlp,0.575,0.08534149080514908,0.08724135905504227
cross_A_train_PAN_test_LG,mlp,0.625,0.10097610205411911,0.10239937156438828
cross_A_train_PAN_test_LG,mlp,0.675,0.1133924052119255,0.11434996128082275
cross_A_train_PAN_test_LG,mlp,0.725,0.11612290143966675,0.11669251322746277
cross_A_train_PAN_test_LG,mlp,0.775,0.11273941397666931,0.11301407963037491
cross_A_train_PAN_test_LG,mlp,0.825,0.11901241540908813,0.119040846824646
cross_A_train_PAN_test_LG,mlp,0.875,0.09180409461259842,0.09223395586013794
cross_A_train_PAN_test_LG,mlp,0.925,0.054135799407958984,0.058137934654951096
cross_A_train_PAN_test_LG,mlp,0.975,0.030544975772500038,0.040562450885772705
cross_A_train_PAN_test_LG,patchtst,0.025,,
cross_A_train_PAN_test_LG,patchtst,0.075,,
cross_A_train_PAN_test_LG,patchtst,0.125,-0.09175439924001694,0.09307873249053955
cross_A_train_PAN_test_LG,patchtst,0.175,-0.12572720646858215,0.13978517055511475
cross_A_train_PAN_test_LG,patchtst,0.225,-0.05150368809700012,0.062387146055698395
cross_A_train_PAN_test_LG,patchtst,0.275,-0.015245571732521057,0.041189659386873245
cross_A_train_PAN_test_LG,patchtst,0.325,-0.011729215271770954,0.04120365530252457
cross_A_train_PAN_test_LG,patchtst,0.375,-0.005867402534931898,0.04290479049086571
cross_A_train_PAN_test_LG,patchtst,0.425,-0.00026836266624741256,0.035945795476436615
cross_A_train_PAN_test_LG,patchtst,0.475,-0.00968096498399973,0.03797706961631775
cross_A_train_PAN_test_LG,patchtst,0.525,0.0053354003466665745,0.04762536287307739
cross_A_train_PAN_test_LG,patchtst,0.575,0.018620215356349945,0.04961256682872772
cross_A_train_PAN_test_LG,patchtst,0.625,0.03320590779185295,0.05629245564341545
cross_A_train_PAN_test_LG,patchtst,0.675,0.046965472400188446,0.070049948990345
cross_A_train_PAN_test_LG,patchtst,0.725,0.05026031285524368,0.06832391768693924
cross_A_train_PAN_test_LG,patchtst,0.775,0.05345100909471512,0.06779861450195312
cross_A_train_PAN_test_LG,patchtst,0.825,0.06003846973180771,0.0711773931980133
cross_A_train_PAN_test_LG,patchtst,0.875,0.04934963211417198,0.06893669068813324
cross_A_train_PAN_test_LG,patchtst,0.925,0.02405989170074463,0.05419740080833435
cross_A_train_PAN_test_LG,patchtst,0.975,0.0010742329759523273,0.0607827827334404
cross_A_train_PAN_test_LG,tcn,0.025,,
cross_A_train_PAN_test_LG,tcn,0.075,,
cross_A_train_PAN_test_LG,tcn,0.125,-0.023802829906344414,0.028742941096425056
cross_A_train_PAN_test_LG,tcn,0.175,-0.025130851194262505,0.049510858952999115
cross_A_train_PAN_test_LG,tcn,0.225,0.034327615052461624,0.04632379114627838
cross_A_train_PAN_test_LG,tcn,0.275,0.06817193329334259,0.07228507846593857
cross_A_train_PAN_test_LG,tcn,0.325,0.08812086284160614,0.0925406962633133
cross_A_train_PAN_test_LG,tcn,0.375,0.09042748063802719,0.09383893013000488
cross_A_train_PAN_test_LG,tcn,0.425,0.08504233509302139,0.08841113746166229
cross_A_train_PAN_test_LG,tcn,0.475,0.08063334971666336,0.08641491830348969
cross_A_train_PAN_test_LG,tcn,0.525,0.08786176145076752,0.09084059298038483
cross_A_train_PAN_test_LG,tcn,0.575,0.09504637867212296,0.09756942838430405
cross_A_train_PAN_test_LG,tcn,0.625,0.10655702650547028,0.10728470236063004
cross_A_train_PAN_test_LG,tcn,0.675,0.11767372488975525,0.11813601851463318
cross_A_train_PAN_test_LG,tcn,0.725,0.12505565583705902,0.12525592744350433
cross_A_train_PAN_test_LG,tcn,0.775,0.12263107299804688,0.12283540517091751
cross_A_train_PAN_test_LG,tcn,0.825,0.12658074498176575,0.12667852640151978
cross_A_train_PAN_test_LG,tcn,0.875,0.10169178247451782,0.10192078351974487
cross_A_train_PAN_test_LG,tcn,0.925,0.06080972030758858,0.06200112774968147
cross_A_train_PAN_test_LG,tcn,0.975,0.032959938049316406,0.03793211281299591
cross_A_train_PAN_test_LG,transformer,0.025,,
cross_A_train_PAN_test_LG,transformer,0.075,,
cross_A_train_PAN_test_LG,transformer,0.125,-0.0474044568836689,0.05161293223500252
cross_A_train_PAN_test_LG,transformer,0.175,-0.08154579997062683,0.0967940241098404
cross_A_train_PAN_test_LG,transformer,0.225,-0.010847758501768112,0.05546015501022339
cross_A_train_PAN_test_LG,transformer,0.275,0.03858578950166702,0.057663459330797195
cross_A_train_PAN_test_LG,transformer,0.325,0.06449056416749954,0.08060193061828613
cross_A_train_PAN_test_LG,transformer,0.375,0.06085391715168953,0.07613534480333328
cross_A_train_PAN_test_LG,transformer,0.425,0.06068721413612366,0.07007599622011185
cross_A_train_PAN_test_LG,transformer,0.475,0.059259336441755295,0.06705514341592789
cross_A_train_PAN_test_LG,transformer,0.525,0.06518807262182236,0.07238475978374481
cross_A_train_PAN_test_LG,transformer,0.575,0.07621326297521591,0.0800851359963417
cross_A_train_PAN_test_LG,transformer,0.625,0.09416759014129639,0.09692040085792542
cross_A_train_PAN_test_LG,transformer,0.675,0.10639721155166626,0.10897781699895859
cross_A_train_PAN_test_LG,transformer,0.725,0.11074957251548767,0.1133127510547638
cross_A_train_PAN_test_LG,transformer,0.775,0.11033111810684204,0.11234866082668304
cross_A_train_PAN_test_LG,transformer,0.825,0.11430520564317703,0.11582279950380325
cross_A_train_PAN_test_LG,transformer,0.875,0.08727170526981354,0.09108015894889832
cross_A_train_PAN_test_LG,transformer,0.925,0.05328412726521492,0.0599982775747776
cross_A_train_PAN_test_LG,transformer,0.975,0.027006084099411964,0.03980854153633118
cross_B_train_LG_test_PAN,bilstm,0.025,0.0821639895439148,0.0821639895439148
cross_B_train_LG_test_PAN,bilstm,0.075,0.08270286023616791,0.08291297405958176
cross_B_train_LG_test_PAN,bilstm,0.125,0.052701447159051895,0.055869393050670624
cross_B_train_LG_test_PAN,bilstm,0.175,0.025447780266404152,0.030032608658075333
cross_B_train_LG_test_PAN,bilstm,0.225,-0.0006135570583865047,0.025547917932271957
cross_B_train_LG_test_PAN,bilstm,0.275,-0.018058769404888153,0.03115815669298172
cross_B_train_LG_test_PAN,bilstm,0.325,-0.03546687215566635,0.042361728847026825
cross_B_train_LG_test_PAN,bilstm,0.375,-0.04559745639562607,0.04973158240318298
cross_B_train_LG_test_PAN,bilstm,0.425,-0.06710793077945709,0.06883720308542252
cross_B_train_LG_test_PAN,bilstm,0.475,-0.07503852248191833,0.0757175087928772
cross_B_train_LG_test_PAN,bilstm,0.525,-0.08129522949457169,0.08152835816144943
cross_B_train_LG_test_PAN,bilstm,0.575,-0.08930419385433197,0.08942312002182007
cross_B_train_LG_test_PAN,bilstm,0.625,-0.08860403299331665,0.0886368453502655
cross_B_train_LG_test_PAN,bilstm,0.675,-0.09266999363899231,0.09272722899913788
cross_B_train_LG_test_PAN,bilstm,0.725,-0.10002537071704865,0.10004138946533203
cross_B_train_LG_test_PAN,bilstm,0.775,-0.10539315640926361,0.10539315640926361
cross_B_train_LG_test_PAN,bilstm,0.825,-0.11575774848461151,0.11575774848461151
cross_B_train_LG_test_PAN,bilstm,0.875,-0.11693921685218811,0.11694546043872833
cross_B_train_LG_test_PAN,bilstm,0.925,-0.11778123676776886,0.11781804263591766
cross_B_train_LG_test_PAN,bilstm,0.975,-0.011232387274503708,0.03113173507153988
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.025,0.0812171921133995,0.0812171921133995
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.075,0.0809064581990242,0.0809064581990242
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.125,0.04853958263993263,0.053635720163583755
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.175,0.019805001094937325,0.026435917243361473
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.225,-0.005874373018741608,0.024541139602661133
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.275,-0.02275596372783184,0.031978946179151535
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.325,-0.04122034087777138,0.04409797117114067
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.375,-0.05123733729124069,0.05392645299434662
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.425,-0.0725264772772789,0.07299789786338806
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.475,-0.08037722110748291,0.0804181769490242
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.525,-0.08751647174358368,0.08751647174358368
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.575,-0.0983608290553093,0.0983608290553093
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.625,-0.09342705458402634,0.09342705458402634
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.675,-0.09862294048070908,0.09862294048070908
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.725,-0.10496921837329865,0.10496921837329865
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.775,-0.10752301663160324,0.10752301663160324
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.825,-0.11475713551044464,0.11475713551044464
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.875,-0.11478777974843979,0.11478777974843979
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.925,-0.11190186440944672,0.11190186440944672
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0.975,0.03557923063635826,0.07260885089635849
cross_B_train_LG_test_PAN,gru,0.025,0.06662287563085556,0.06803052872419357
cross_B_train_LG_test_PAN,gru,0.075,0.07882845401763916,0.08052985370159149
cross_B_train_LG_test_PAN,gru,0.125,0.022882740944623947,0.06744939833879471
cross_B_train_LG_test_PAN,gru,0.175,0.02455560863018036,0.032139796763658524
cross_B_train_LG_test_PAN,gru,0.225,-0.002681720070540905,0.02672833576798439
cross_B_train_LG_test_PAN,gru,0.275,-0.019470063969492912,0.030247608199715614
cross_B_train_LG_test_PAN,gru,0.325,-0.038945864886045456,0.04341386631131172
cross_B_train_LG_test_PAN,gru,0.375,-0.049022261053323746,0.05112363025546074
cross_B_train_LG_test_PAN,gru,0.425,-0.06936199218034744,0.07049227505922318
cross_B_train_LG_test_PAN,gru,0.475,-0.07558471709489822,0.07603876292705536
cross_B_train_LG_test_PAN,gru,0.525,-0.08014636486768723,0.0803145095705986
cross_B_train_LG_test_PAN,gru,0.575,-0.08706645667552948,0.0871829017996788
cross_B_train_LG_test_PAN,gru,0.625,-0.08593886345624924,0.08598008006811142
cross_B_train_LG_test_PAN,gru,0.675,-0.09032896161079407,0.09039691835641861
