direction,model,method,fraction,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,n_pool_windows
cross_A_train_PAN_test_LG,linear,recal_bias,0.05,5,0.07378,0.00837,0.09356,0.00884,-0.00692,1312.2
cross_A_train_PAN_test_LG,linear,recal_bias,0.1,5,0.06797,0.00154,0.08682,0.00153,0.0074,2603.0
cross_A_train_PAN_test_LG,linear,recal_bias,0.2,5,0.06696,0.00064,0.0859,0.00099,-0.00303,5153.4
cross_A_train_PAN_test_LG,linear,recal_bias,0.5,5,0.06655,7e-05,0.08542,0.00019,-0.00322,14159.0
cross_A_train_PAN_test_LG,linear,recal_bias,1.0,5,0.06641,0.0,0.0853,0.0,-0.00489,27105.0
cross_A_train_PAN_test_LG,lstm,finetune,0.0,5,0.08493,0.00187,0.10633,0.00111,0.06971,0.0
cross_A_train_PAN_test_LG,lstm,finetune,0.05,5,0.03914,0.02342,0.05128,0.02916,0.01386,1312.2
cross_A_train_PAN_test_LG,lstm,finetune,0.1,5,0.02578,0.00444,0.03322,0.00526,0.00475,2603.0
cross_A_train_PAN_test_LG,lstm,finetune,0.2,5,0.01912,0.00384,0.02684,0.00454,0.00038,5153.4
cross_A_train_PAN_test_LG,lstm,finetune,0.5,5,0.01163,0.00121,0.01636,0.0015,-0.00045,14159.0
cross_A_train_PAN_test_LG,lstm,finetune,1.0,5,0.00985,0.00105,0.01377,0.00149,-0.00018,27105.0
cross_A_train_PAN_test_LG,lstm,recal_affine,0.0,5,0.08493,0.00187,0.10633,0.00111,0.06971,0.0
cross_A_train_PAN_test_LG,lstm,recal_affine,0.05,5,0.06029,0.00468,0.07526,0.00612,-0.01138,1312.2
cross_A_train_PAN_test_LG,lstm,recal_affine,0.1,5,0.05477,0.00382,0.06984,0.00371,0.0077,2603.0
cross_A_train_PAN_test_LG,lstm,recal_affine,0.2,5,0.05376,0.00315,0.06855,0.00281,0.00241,5153.4
cross_A_train_PAN_test_LG,lstm,recal_affine,0.5,5,0.05303,0.00277,0.06771,0.00285,0.00045,14159.0
cross_A_train_PAN_test_LG,lstm,recal_affine,1.0,5,0.05314,0.00291,0.06759,0.0028,-0.00109,27105.0
cross_A_train_PAN_test_LG,lstm,recal_bias,0.0,5,0.08493,0.00187,0.10633,0.00111,0.06971,0.0
cross_A_train_PAN_test_LG,lstm,recal_bias,0.05,5,0.07241,0.00884,0.09094,0.01019,-0.01463,1312.2
cross_A_train_PAN_test_LG,lstm,recal_bias,0.1,5,0.06314,0.00455,0.08279,0.00531,0.01133,2603.0
cross_A_train_PAN_test_LG,lstm,recal_bias,0.2,5,0.06156,0.0033,0.08128,0.00394,0.00485,5153.4
cross_A_train_PAN_test_LG,lstm,recal_bias,0.5,5,0.06066,0.00324,0.08033,0.00405,0.00403,14159.0
cross_A_train_PAN_test_LG,lstm,recal_bias,1.0,5,0.06079,0.00321,0.08015,0.00414,0.00121,27105.0
cross_A_train_PAN_test_LG,mlp,recal_affine,0.0,5,0.08192,0.00216,0.10257,0.0034,0.07198,0.0
cross_A_train_PAN_test_LG,mlp,recal_affine,0.05,5,0.0582,0.00623,0.07245,0.00677,-0.01144,1312.2
cross_A_train_PAN_test_LG,mlp,recal_affine,0.1,5,0.05232,0.00576,0.06662,0.00666,0.00376,2603.0
cross_A_train_PAN_test_LG,mlp,recal_affine,0.2,5,0.05121,0.00347,0.06526,0.00434,0.00036,5153.4
cross_A_train_PAN_test_LG,mlp,recal_affine,0.5,5,0.05053,0.0036,0.06451,0.00444,-0.00035,14159.0
cross_A_train_PAN_test_LG,mlp,recal_affine,1.0,5,0.05055,0.00346,0.06444,0.00431,-0.00313,27105.0
cross_A_train_PAN_test_LG,mlp,recal_bias,0.0,5,0.08192,0.00216,0.10257,0.0034,0.07198,0.0
cross_A_train_PAN_test_LG,mlp,recal_bias,0.05,5,0.06742,0.01055,0.08351,0.01069,-0.01413,1312.2
cross_A_train_PAN_test_LG,mlp,recal_bias,0.1,5,0.05781,0.00599,0.07505,0.00687,0.00594,2603.0
cross_A_train_PAN_test_LG,mlp,recal_bias,0.2,5,0.05711,0.00363,0.07408,0.00459,0.00219,5153.4
cross_A_train_PAN_test_LG,mlp,recal_bias,0.5,5,0.05619,0.00384,0.0731,0.00427,0.00251,14159.0
cross_A_train_PAN_test_LG,mlp,recal_bias,1.0,5,0.05633,0.00373,0.07299,0.00418,-0.00158,27105.0
cross_A_train_PAN_test_LG,patchtst,finetune,0.0,5,0.05918,0.00164,0.07469,0.00193,0.01314,0.0
cross_A_train_PAN_test_LG,patchtst,finetune,0.05,5,0.04393,0.01052,0.05772,0.00919,0.00404,1312.2
cross_A_train_PAN_test_LG,patchtst,finetune,0.1,5,0.03744,0.0016,0.05016,0.00267,0.00653,2603.0
