direction,condition,model,seed,mae,rmse,max_error,mape_pct,r2,signed_bias,n_train,n_test,device,smoke,timestamp
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0,0.07830638701169283,0.10017521883426875,0.3395348787307739,14.911595576580256,0.8265886256841923,0.07065083086490631,42051,44282,cuda,False,2026-06-11T15:59:13+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,1,0.08449039648217047,0.10471733443252165,0.3384338915348053,17.630115880303723,0.8105065782830778,0.0627499520778656,42051,44282,cuda,False,2026-06-11T15:59:57+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,2,0.07580589008129361,0.09884118087309007,0.35447436571121216,14.649632320973357,0.8311765266410556,0.06503599882125854,42051,44282,cuda,False,2026-06-11T16:01:10+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,3,0.08252629463694093,0.10517669300669209,0.34667351841926575,17.08706475526729,0.8088404482671314,0.06578470021486282,42051,44282,cuda,False,2026-06-11T16:01:55+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,4,0.08149917919289185,0.10200357687910093,0.33479535579681396,16.33874510927402,0.8202007885785668,0.06712067127227783,42051,44282,cuda,False,2026-06-11T16:02:32+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0,0.08131884261888356,0.10209575617705459,0.3602393865585327,15.383590594663138,0.819875677355292,0.07588128745555878,42051,44282,cuda,False,2026-06-11T16:03:30+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,1,0.07703503130147582,0.09387458539295426,0.32285746932029724,15.156228716297429,0.8477164318243681,0.07085065543651581,42051,44282,cuda,False,2026-06-11T16:04:27+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,2,0.0982246095767475,0.1170465941488888,0.32177895307540894,20.067827914262,0.7632584196052783,0.07789240032434464,42051,44282,cuda,False,2026-06-11T16:05:24+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,3,0.09290771155931629,0.1122060857488259,0.35908278822898865,19.37188691644303,0.782434612061783,0.08423227816820145,42051,44282,cuda,False,2026-06-11T16:06:21+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,4,0.08827112943765543,0.10779130434738973,0.35534483194351196,17.592824505229483,0.7992181576830966,0.07071050256490707,42051,44282,cuda,False,2026-06-11T16:06:57+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0,0.09546129442253379,0.11537808218075704,0.38729748129844666,18.75183682259536,0.7699598658992476,0.09164109826087952,42051,44282,cuda,False,2026-06-11T16:07:41+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,1,0.0977539362905855,0.11692207388067677,0.3897111415863037,19.27805877621473,0.7637618677335551,0.09325554221868515,42051,44282,cuda,False,2026-06-11T16:08:41+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,2,0.09510295344126708,0.115614363269235,0.3701559901237488,18.262436592650293,0.769016709490887,0.0896979495882988,42051,44282,cuda,False,2026-06-11T16:09:22+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,3,0.09116895811983167,0.11190107150055036,0.4079849421977997,17.301107358088803,0.7836158376176624,0.08678775280714035,42051,44282,cuda,False,2026-06-11T16:10:08+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,4,0.07896208811528954,0.10133872472380509,0.3327142894268036,15.679667663019359,0.8225369873779084,0.07219870388507843,42051,44282,cuda,False,2026-06-11T16:11:07+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,0,0.08107904937973186,0.09974980792638054,0.3498695492744446,16.321946594109786,0.8280583394591992,0.06325025111436844,42051,44282,cuda,False,2026-06-11T16:12:33+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,1,0.08679711029706143,0.10475281267718008,0.3515411615371704,17.737900204004905,0.8103781557468875,0.06372074782848358,42051,44282,cuda,False,2026-06-11T16:13:41+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,2,0.07635717637166277,0.09051658336976719,0.2723964899778366,15.191530899557149,0.8584162907335768,0.07037964463233948,42051,44282,cuda,False,2026-06-11T16:16:18+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,3,0.0744048618211357,0.09174647235134646,0.28153538703918457,15.674339416287205,0.8545426303831051,0.05117876082658768,42051,44282,cuda,False,2026-06-11T16:18:17+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,4,0.06989230995982727,0.08782019609170726,0.3108854293823242,14.608013431983194,0.8667258917057817,0.05384036898612976,42051,44282,cuda,False,2026-06-11T16:19:59+00:00
cross_A_train_PAN_test_LG,C4_coral,bilstm,0,0.08064935655019267,0.0964159903064438,0.2390788197517395,16.18158825319706,0.839359475629356,0.056515537202358246,42051,44282,cuda,False,2026-06-11T16:20:32+00:00
cross_A_train_PAN_test_LG,C4_coral,bilstm,1,0.08508717886957956,0.1023004627947375,0.2575756311416626,16.11017572537545,0.8191526383595295,0.0677565187215805,42051,44282,cuda,False,2026-06-11T16:21:50+00:00
cross_A_train_PAN_test_LG,C4_coral,bilstm,2,0.08082263448198776,0.0958402492273116,0.2455838918685913,16.129840871721836,0.8412722539521079,0.05774625018239021,42051,44282,cuda,False,2026-06-11T16:22:14+00:00
cross_A_train_PAN_test_LG,C4_coral,bilstm,3,0.08054352893807568,0.09662728396087265,0.25267747044563293,16.25285341459707,0.8386546233473523,0.0470430888235569,42051,44282,cuda,False,2026-06-11T16:22:58+00:00
cross_A_train_PAN_test_LG,C4_coral,bilstm,4,0.08198804966365075,0.09734867673269679,0.23410534858703613,16.450882714144043,0.8362365098656084,0.05664106085896492,42051,44282,cuda,False,2026-06-11T16:23:26+00:00
cross_A_train_PAN_test_LG,C4_coral,cnn_bilstm_attn,0,0.08505926643033485,0.10115256498672705,0.24754565954208374,16.87646694090763,0.8231883893722329,0.056194618344306946,42051,44282,cuda,False,2026-06-11T16:23:50+00:00
cross_A_train_PAN_test_LG,C4_coral,cnn_bilstm_attn,1,0.08440414570962816,0.10232350037128855,0.26616281270980835,16.155632367820736,0.8190711772607667,0.0689789205789566,42051,44282,cuda,False,2026-06-11T16:24:47+00:00
cross_A_train_PAN_test_LG,C4_coral,cnn_bilstm_attn,2,0.09411213995587572,0.11069523608975865,0.2515825629234314,18.439558272374494,0.7882541817786564,0.06384241580963135,42051,44282,cuda,False,2026-06-11T16:25:45+00:00
cross_A_train_PAN_test_LG,C4_coral,cnn_bilstm_attn,3,0.08798100176785924,0.10445685403783454,0.257956862449646,17.673819203332673,0.8114481211866954,0.057516977190971375,42051,44282,cuda,False,2026-06-11T16:26:15+00:00
cross_A_train_PAN_test_LG,C4_coral,cnn_bilstm_attn,4,0.08420486468775494,0.1008530230539217,0.2522982358932495,16.955971273410704,0.8242340192677629,0.054418258368968964,42051,44282,cuda,False,2026-06-11T16:26:47+00:00
cross_A_train_PAN_test_LG,C4_coral,tcn,0,0.09175808114972125,0.11133103235677821,0.310822069644928,16.920453844402093,0.7858148025918078,0.0762116014957428,42051,44282,cuda,False,2026-06-11T16:27:44+00:00
cross_A_train_PAN_test_LG,C4_coral,tcn,1,0.08737577102429918,0.10624071802987041,0.28240007162094116,16.021715897582528,0.8049531347158155,0.07156573235988617,42051,44282,cuda,False,2026-06-11T16:28:44+00:00
cross_A_train_PAN_test_LG,C4_coral,tcn,2,0.08938315688425015,0.10670883605049418,0.2878742814064026,17.16324807551988,0.8032305163409399,0.06981807947158813,42051,44282,cuda,False,2026-06-11T16:29:44+00:00
cross_A_train_PAN_test_LG,C4_coral,tcn,3,0.09367669775782884,0.11363735009946692,0.36183029413223267,17.563489281440326,0.7768488258852784,0.07337751984596252,42051,44282,cuda,False,2026-06-11T16:30:43+00:00
cross_A_train_PAN_test_LG,C4_coral,tcn,4,0.08732591575884592,0.10625977405421987,0.326917827129364,16.521204342725877,0.8048831586987225,0.06887635588645935,42051,44282,cuda,False,2026-06-11T16:31:18+00:00
cross_A_train_PAN_test_LG,C4_coral,transformer,0,0.07704266630997968,0.09227753512251687,0.2166317105293274,14.872657454957071,0.8528538338767442,0.049452606588602066,42051,44282,cuda,False,2026-06-11T16:32:39+00:00
cross_A_train_PAN_test_LG,C4_coral,transformer,1,0.08366767123868529,0.0992348236447478,0.22978782653808594,16.584748834422356,0.8298291434393147,0.051784977316856384,42051,44282,cuda,False,2026-06-11T16:33:47+00:00
cross_A_train_PAN_test_LG,C4_coral,transformer,2,0.08269646341528537,0.09871214140276866,0.25177643448114395,16.813598382148577,0.8316170448753655,0.04782107472419739,42051,44282,cuda,False,2026-06-11T16:35:46+00:00
cross_A_train_PAN_test_LG,C4_coral,transformer,3,0.06818616288380507,0.08243148110766492,0.23838800191879272,12.785925465417467,0.8825796996671417,0.050543028861284256,42051,44282,cuda,False,2026-06-11T16:38:31+00:00
cross_A_train_PAN_test_LG,C4_coral,transformer,4,0.08869556402279863,0.10591457525959386,0.24381130933761597,17.417185416103173,0.8061488247463184,0.057427264750003815,42051,44282,cuda,False,2026-06-11T16:40:17+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0,0.07304715506884354,0.09579624992119982,0.4109950661659241,13.732390176823476,0.8739057893488408,-0.06560181826353073,38165,52633,cuda,False,2026-06-11T16:41:25+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,1,0.07116173736362788,0.09408035690792407,0.3943599462509155,13.431672258353258,0.8783825079746314,-0.06467150896787643,38165,52633,cuda,False,2026-06-11T16:42:34+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,2,0.07084521129403197,0.09149976354878057,0.3833513855934143,13.299621728321162,0.8849628604667135,-0.05919547751545906,38165,52633,cuda,False,2026-06-11T16:43:38+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,3,0.07135161189208994,0.0918802628136123,0.3931339979171753,13.637641817017116,0.8840041135429995,-0.0594923198223114,38165,52633,cuda,False,2026-06-11T16:44:33+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,4,0.0707765910597169,0.09230483881557594,0.4781607687473297,13.266735142098856,0.8829296094556471,-0.056915126740932465,38165,52633,cuda,False,2026-06-11T16:45:31+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0,0.08347106290057124,0.1007706795492745,0.30597734451293945,14.932918590545817,0.8604703499080583,-0.049796443432569504,38165,52633,cuda,False,2026-06-11T16:46:22+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,1,0.08007646148436799,0.0973729630137782,0.3232661783695221,14.671140349717197,0.8697208543695193,-0.05552970990538597,38165,52633,cuda,False,2026-06-11T16:47:13+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,2,0.08374599226219293,0.10115365962943292,0.3146743178367615,14.997709479896573,0.859407766606727,-0.0521717332303524,38165,52633,cuda,False,2026-06-11T16:48:04+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,3,0.08318598580486002,0.10060159630782825,0.2939762771129608,14.941206148263522,0.8609381910101188,-0.05526610463857651,38165,52633,cuda,False,2026-06-11T16:48:54+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,4,0.08234222083655315,0.09920566379980407,0.30278143286705017,14.708412501064824,0.8647706173486992,-0.05411732196807861,38165,52633,cuda,False,2026-06-11T16:49:45+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0,0.08324476184033486,0.10054312830417086,0.44600242376327515,14.760630766445182,0.8610997849400313,-0.05483828857541084,38165,52633,cuda,False,2026-06-11T16:50:05+00:00
