direction,condition,bias_mean,bias_std,mae_mean
cross_A_train_PAN_test_LG,C2_ocv_mean,0.07234,0.01187,0.08437
cross_A_train_PAN_test_LG,C4_coral,0.06018,0.00911,0.08473
cross_B_train_LG_test_PAN,C2_ocv_mean,-0.05565,0.00546,0.0761
cross_B_train_LG_test_PAN,C4_coral,-0.05506,0.00425,0.07444
