direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C4_coral,tcn,0.5-0.6,0.0865,31650
cross_A_train_PAN_test_LG,C4_coral,tcn,0.6-0.7,0.10803,25455
cross_A_train_PAN_test_LG,C4_coral,tcn,0.7-0.8,0.13511,26610
cross_A_train_PAN_test_LG,C4_coral,tcn,0.8-0.9,0.12528,27010
cross_A_train_PAN_test_LG,C4_coral,tcn,0.9-1.0,0.06783,30760
cross_A_train_PAN_test_LG,C4_coral,transformer,0.1-0.2,0.0865,10200
cross_A_train_PAN_test_LG,C4_coral,transformer,0.2-0.3,0.05608,22920
cross_A_train_PAN_test_LG,C4_coral,transformer,0.3-0.4,0.04674,19555
cross_A_train_PAN_test_LG,C4_coral,transformer,0.4-0.5,0.06408,27250
cross_A_train_PAN_test_LG,C4_coral,transformer,0.5-0.6,0.0708,31650
cross_A_train_PAN_test_LG,C4_coral,transformer,0.6-0.7,0.09511,25455
cross_A_train_PAN_test_LG,C4_coral,transformer,0.7-0.8,0.12276,26610
cross_A_train_PAN_test_LG,C4_coral,transformer,0.8-0.9,0.11524,27010
cross_A_train_PAN_test_LG,C4_coral,transformer,0.9-1.0,0.06035,30760
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.0-0.1,0.075,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.1-0.2,0.03612,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.2-0.3,0.03034,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.3-0.4,0.0497,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.4-0.5,0.07679,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.5-0.6,0.08627,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.6-0.7,0.08997,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.7-0.8,0.10155,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.8-0.9,0.11369,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,bilstm,0.9-1.0,0.04981,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.0-0.1,0.07643,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.1-0.2,0.03612,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.2-0.3,0.031,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.3-0.4,0.05457,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.4-0.5,0.08071,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.5-0.6,0.09326,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.6-0.7,0.0947,27845
