direction,condition,model,seed,mae,rmse,max_error,mape_pct,r2,signed_bias,n_train,n_test,device,smoke,timestamp
cross_A_train_PAN_test_LG,C1_baseline,linear,0,0.08412434726953506,0.10773103982897474,0.4967016875743866,19.882139904268442,0.7961128648626943,0.05048505999147892,1500,800,cpu,True,2026-06-10T14:39:40+00:00
cross_A_train_PAN_test_LG,C1_baseline,mlp,0,0.21493763037025929,0.28152868773374895,0.9691186249256134,47.17269278303987,-0.39236607161135395,0.1622638702392578,1500,800,cpu,True,2026-06-10T14:39:42+00:00
cross_A_train_PAN_test_LG,C1_baseline,lstm,0,0.24813121987041087,0.2875812299233431,0.7578434348106384,41.24176385976761,-0.4528781541403859,-0.2459280788898468,1500,800,cpu,True,2026-06-10T14:39:45+00:00
cross_A_train_PAN_test_LG,C1_baseline,gru,0,0.32815266892313955,0.36194962894822735,0.836101770401001,61.261034260879896,-1.3014650898791196,-0.328002005815506,1500,800,cpu,True,2026-06-10T14:39:48+00:00
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0,0.16120347663760184,0.19461387590871132,0.5215719491243362,33.96482504743061,0.3346414771367622,0.09768645465373993,1500,800,cpu,True,2026-06-10T14:39:51+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0,0.08123714638873934,0.10778216131782992,0.5263046622276306,19.19147708980082,0.795919318287191,0.05273153031244874,1500,800,cpu,True,2026-06-10T14:39:53+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0,0.18813624367117882,0.2462018907642585,0.8320127427577972,39.245030859956344,-0.06485601365610139,0.16462235152721405,1500,800,cpu,True,2026-06-10T14:39:53+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0,0.20012781666591764,0.24524122256585992,0.6838697195053101,33.26338006506543,-0.056562190175253546,-0.1679564267396927,1500,800,cpu,True,2026-06-10T14:39:55+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0,0.20006227493751794,0.23649866786780235,0.6594248712062836,35.68921245886894,0.017425435012532797,-0.1894700676202774,1500,800,cpu,True,2026-06-10T14:40:00+00:00
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0,0.142379607912153,0.17767770681449827,0.5015154629945755,31.516445663786836,0.4454074888090096,0.03020409308373928,1500,800,cpu,True,2026-06-10T14:40:05+00:00
