direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.3-0.4,0.07075,69
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.4-0.5,0.09512,110
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.5-0.6,0.1452,123
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.6-0.7,0.21026,97
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.7-0.8,0.29201,94
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.8-0.9,0.34667,78
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.9-1.0,0.36624,112
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.1-0.2,0.16257,46
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.2-0.3,0.1769,71
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.3-0.4,0.20052,69
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.4-0.5,0.18165,110
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.5-0.6,0.16144,123
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.6-0.7,0.1899,97
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.7-0.8,0.2165,94
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.8-0.9,0.2256,78
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.9-1.0,0.18239,112
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.1-0.2,0.16113,46
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.2-0.3,0.13962,71
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.3-0.4,0.18351,69
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.4-0.5,0.13912,110
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.5-0.6,0.11101,123
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.6-0.7,0.12641,97
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.7-0.8,0.14746,94
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.8-0.9,0.14272,78
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.9-1.0,0.15807,112
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.1-0.2,0.11639,46
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.2-0.3,0.1,71
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.3-0.4,0.13477,69
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.4-0.5,0.12891,110
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.5-0.6,0.18099,123
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.6-0.7,0.21608,97
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.7-0.8,0.26031,94
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.8-0.9,0.30143,78
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.9-1.0,0.31366,112
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.1-0.2,0.08307,46
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.2-0.3,0.12499,71
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.3-0.4,0.1244,69
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.4-0.5,0.07894,110
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.5-0.6,0.05923,123
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.6-0.7,0.05905,97
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.7-0.8,0.06236,94
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.8-0.9,0.06486,78
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.9-1.0,0.06967,112
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.1-0.2,0.08688,46
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.2-0.3,0.09731,71
