direction,condition,model,soc_bin,mae,count
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.1-0.2,0.14173,31
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.2-0.3,0.06723,50
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.3-0.4,0.07655,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.4-0.5,0.13202,70
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.5-0.6,0.16271,75
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.6-0.7,0.1592,97
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.7-0.8,0.15204,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.8-0.9,0.1577,110
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.9-1.0,0.1978,190
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.0-0.1,0.06116,11
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.1-0.2,0.05518,31
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.2-0.3,0.06542,50
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.3-0.4,0.08241,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.4-0.5,0.12308,70
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.5-0.6,0.13903,75
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.6-0.7,0.15124,97
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.7-0.8,0.16365,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.8-0.9,0.2197,110
cross_B_train_LG_test_PAN,C3_ocv_dischg,patchtst,0.9-1.0,0.29,190
cross_B_train_LG_test_PAN,C4_coral,gru,0.0-0.1,0.13632,11
cross_B_train_LG_test_PAN,C4_coral,gru,0.1-0.2,0.16516,31
cross_B_train_LG_test_PAN,C4_coral,gru,0.2-0.3,0.20268,50
cross_B_train_LG_test_PAN,C4_coral,gru,0.3-0.4,0.21492,83
cross_B_train_LG_test_PAN,C4_coral,gru,0.4-0.5,0.32424,70
cross_B_train_LG_test_PAN,C4_coral,gru,0.5-0.6,0.31648,75
cross_B_train_LG_test_PAN,C4_coral,gru,0.6-0.7,0.36868,97
cross_B_train_LG_test_PAN,C4_coral,gru,0.7-0.8,0.38084,83
cross_B_train_LG_test_PAN,C4_coral,gru,0.8-0.9,0.42535,110
cross_B_train_LG_test_PAN,C4_coral,gru,0.9-1.0,0.31934,190
cross_B_train_LG_test_PAN,C4_coral,linear,0.0-0.1,0.07966,11
cross_B_train_LG_test_PAN,C4_coral,linear,0.1-0.2,0.11939,31
cross_B_train_LG_test_PAN,C4_coral,linear,0.2-0.3,0.08672,50
cross_B_train_LG_test_PAN,C4_coral,linear,0.3-0.4,0.06951,83
cross_B_train_LG_test_PAN,C4_coral,linear,0.4-0.5,0.0622,70
cross_B_train_LG_test_PAN,C4_coral,linear,0.5-0.6,0.06131,75
cross_B_train_LG_test_PAN,C4_coral,linear,0.6-0.7,0.08021,97
cross_B_train_LG_test_PAN,C4_coral,linear,0.7-0.8,0.09516,83
cross_B_train_LG_test_PAN,C4_coral,linear,0.8-0.9,0.12741,110
cross_B_train_LG_test_PAN,C4_coral,linear,0.9-1.0,0.10214,190
cross_B_train_LG_test_PAN,C4_coral,lstm,0.0-0.1,0.03438,11
cross_B_train_LG_test_PAN,C4_coral,lstm,0.1-0.2,0.06392,31
cross_B_train_LG_test_PAN,C4_coral,lstm,0.2-0.3,0.10724,50
cross_B_train_LG_test_PAN,C4_coral,lstm,0.3-0.4,0.14236,83
cross_B_train_LG_test_PAN,C4_coral,lstm,0.4-0.5,0.23913,70
cross_B_train_LG_test_PAN,C4_coral,lstm,0.5-0.6,0.25834,75
cross_B_train_LG_test_PAN,C4_coral,lstm,0.6-0.7,0.31175,97
cross_B_train_LG_test_PAN,C4_coral,lstm,0.7-0.8,0.32266,83
cross_B_train_LG_test_PAN,C4_coral,lstm,0.8-0.9,0.36758,110
cross_B_train_LG_test_PAN,C4_coral,lstm,0.9-1.0,0.23152,190
cross_B_train_LG_test_PAN,C4_coral,mlp,0.0-0.1,0.07302,11
cross_B_train_LG_test_PAN,C4_coral,mlp,0.1-0.2,0.07064,31
cross_B_train_LG_test_PAN,C4_coral,mlp,0.2-0.3,0.09224,50
cross_B_train_LG_test_PAN,C4_coral,mlp,0.3-0.4,0.10775,83
cross_B_train_LG_test_PAN,C4_coral,mlp,0.4-0.5,0.15258,70
cross_B_train_LG_test_PAN,C4_coral,mlp,0.5-0.6,0.17227,75
cross_B_train_LG_test_PAN,C4_coral,mlp,0.6-0.7,0.16505,97
cross_B_train_LG_test_PAN,C4_coral,mlp,0.7-0.8,0.1617,83
cross_B_train_LG_test_PAN,C4_coral,mlp,0.8-0.9,0.15014,110
cross_B_train_LG_test_PAN,C4_coral,mlp,0.9-1.0,0.2097,190
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.0-0.1,0.13061,11
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.1-0.2,0.16471,31
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.2-0.3,0.15149,50
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.3-0.4,0.13041,83
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.4-0.5,0.12348,70
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.5-0.6,0.10693,75
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.6-0.7,0.07865,97
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.7-0.8,0.09544,83
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.8-0.9,0.10483,110
cross_B_train_LG_test_PAN,C4_coral,patchtst,0.9-1.0,0.19654,190
